75.68,75.80,74.73
73.52,82.00,70.75
33.23,26.36,16.07
79.25,71.87,72.99
56.05,53.66,56.99
 1.70,-1.16,-3.24
23.97,28.41,25.81
49.16,50.86,58.37
74.78,73.11,76.36
 0.79, 2.72, 6.38
28.32,24.22,31.63
27.57,20.19,25.97
-8.37,-4.85, 2.19
 4.63, 1.56, 3.12
78.76,80.17,81.91
-1.50, 4.34,-9.59
63.71,82.64,73.59
72.05,78.91,77.44
-8.42, 1.35,-9.66
 2.75, 0.13,-12.09
53.22,43.20,62.87
-0.48, 1.22,-1.11
31.66,20.01,17.86
26.54,19.10,15.93
 4.95, 8.30, 7.78
46.36,48.63,52.09
26.56,23.81,23.86
72.10,65.34,76.81
27.96,28.47,22.30
21.93,22.94,30.50
72.75,84.04,77.44
73.29,79.23,81.98
50.09,48.99,49.89
 4.81, 3.55,11.79
79.92,78.42,65.70
71.26,90.68,75.74
-1.96, 3.98,-2.44
-2.96,-6.64, 0.33
46.28,44.40,57.60
 0.42, 4.22,-4.42
71.98,72.27,86.39
-0.63, 3.54,-2.22
 7.01, 5.67, 5.25
79.40,83.94,71.50
24.67,23.05,24.67
55.48,48.10,49.47
50.51,42.67,56.85
-5.03, 2.31,-0.78
23.74,30.90,23.63
27.44,24.16,14.41
